sample_id,image_path,relative_path,label,class_id,split,seed,sha256
trashnet_00000,/kaggle/input/datasets/feyzazkefe/trashnet/dataset-resized/cardboard/cardboard1.jpg,cardboard/cardboard1.jpg,cardboard,0,train,42,9573fd98a5aca2ab9a4c5b9ebcdfa4dcf9719b216c2025ee4305c4df611c885f
trashnet_00002,/kaggle/input/datasets/feyzazkefe/trashnet/dataset-resized/cardboard/cardboard100.jpg,cardboard/cardboard100.jpg,cardboard,0,train,42,13277fa7ae788f6f342a7d41ada36d4adcd20c58e504f2302b619f3b79087b92
trashnet_00003,/kaggle/input/datasets/feyzazkefe/trashnet/dataset-resized/cardboard/cardboard101.jpg,cardboard/cardboard101.jpg,cardboard,0,train,42,2f3dafed35830c61c3464c876f7cfb82ad3b635078f6306bca02a03f8e90d00f
trashnet_00005,/kaggle/input/datasets/feyzazkefe/trashnet/dataset-resized/cardboard/cardboard103.jpg,cardboard/cardboard103.jpg,cardboard,0,train,42,df9c4036aa2bf59a9c833b02fcef925a767866751dca3b169e71054438def7ae
trashnet_00006,/kaggle/input/datasets/feyzazkefe/trashnet/dataset-resized/cardboard/cardboard104.jpg,cardboard/cardboard104.jpg,cardboard,0,train,42,8c5fc72fb93efeb74d912c8ead8dfde62894aabd5aa5ceb67cb261d7efa13e09
trashnet_00007,/kaggle/input/datasets/feyzazkefe/trashnet/dataset-resized/cardboard/cardboard105.jpg,cardboard/cardboard105.jpg,cardboard,0,train,42,61bc3fa9aeffc93cd85e7cf6af5f5419f2ecf14f1844a3ec28631d09bf2eec5e
trashnet_00009,/kaggle/input/datasets/feyzazkefe/trashnet/dataset-resized/cardboard/cardboard107.jpg,cardboard/cardboard107.jpg,cardboard,0,train,42,f684a75b78c3b036ef269ae3065dc465b3ebee2816aafb2c1c33ca2f97e035b4
trashnet_00010,/kaggle/input/datasets/feyzazkefe/trashnet/dataset-resized/cardboard/cardboard108.jpg,cardboard/cardboard108.jpg,cardboard,0,train,42,99bcaeaf983807a7517bd9c795c9176189806c05194163201cf64aace1531143
trashnet_00011,/kaggle/input/datasets/feyzazkefe/trashnet/dataset-resized/cardboard/cardboard109.jpg,cardboard/cardboard109.jpg,cardboard,0,train,42,5c0111570535a620d024fe6acb97e12e6d82834c44076447ad50bb9e0ea31835
trashnet_00012,/kaggle/input/datasets/feyzazkefe/trashnet/dataset-resized/cardboard/cardboard11.jpg,cardboard/cardboard11.jpg,cardboard,0,train,42,f78d1a1c78d94c7b215b9310f701ea48256c42c105e2455a3c698ef495552523
trashnet_00015,/kaggle/input/datasets/feyzazkefe/trashnet/dataset-resized/cardboard/cardboard112.jpg,cardboard/cardboard112.jpg,cardboard,0,train,42,6e6f1d82b3b218ef2c6376bf266efa908814c54fd0b2a44c5c600ffff5596079
trashnet_00016,/kaggle/input/datasets/feyzazkefe/trashnet/dataset-resized/cardboard/cardboard113.jpg,cardboard/cardboard113.jpg,cardboard,0,train,42,4a2125f33133fc44e1b6a596c7a3c98fbac109b5c12bb8d6b69f92e04d2a31da
trashnet_00017,/kaggle/input/datasets/feyzazkefe/trashnet/dataset-resized/cardboard/cardboard114.jpg,cardboard/cardboard114.jpg,cardboard,0,train,42,c64e75b62eaae06b8903dbaa196d044498c126746ab424ea29c09534b0ebbeed
trashnet_00018,/kaggle/input/datasets/feyzazkefe/trashnet/dataset-resized/cardboard/cardboard115.jpg,cardboard/cardboard115.jpg,cardboard,0,train,42,448e75e25fc89c0af92631d09fe6a6b3c86d121478ba1b9fd8f57a6ccb2a98e1
trashnet_00019,/kaggle/input/datasets/feyzazkefe/trashnet/dataset-resized/cardboard/cardboard116.jpg,cardboard/cardboard116.jpg,cardboard,0,train,42,9537b0fd18ac7a43bd2f9cbfdbfd28d1e2460b4dd9d2bbc634745477f917c8ca
trashnet_00022,/kaggle/input/datasets/feyzazkefe/trashnet/dataset-resized/cardboard/cardboard119.jpg,cardboard/cardboard119.jpg,cardboard,0,train,42,9eca298b852c5d86700d995a32ed4b4b0ec29498b090649fb0ca3749658e66dc
trashnet_00023,/kaggle/input/datasets/feyzazkefe/trashnet/dataset-resized/cardboard/cardboard12.jpg,cardboard/cardboard12.jpg,cardboard,0,train,42,25d47a740100c9ffbc37f5efe9f49113f9edc75208fdeed383b3ee88f1de2167
trashnet_00024,/kaggle/input/datasets/feyzazkefe/trashnet/dataset-resized/cardboard/cardboard120.jpg,cardboard/cardboard120.jpg,cardboard,0,train,42,ad5db05d8cd20a051b84b0354659e462dfd9709febbc88c9d2d1acac5ff7b3f6
trashnet_00025,/kaggle/input/datasets/feyzazkefe/trashnet/dataset-resized/cardboard/cardboard121.jpg,cardboard/cardboard121.jpg,cardboard,0,train,42,b73b7ce6a180a0c33e20ae591d0e727e70a4a53b5f07f87350c245a69f0a3d6f
trashnet_00026,/kaggle/input/datasets/feyzazkefe/trashnet/dataset-resized/cardboard/cardboard122.jpg,cardboard/cardboard122.jpg,cardboard,0,train,42,cf30fceb14b4638f56b5be8c0bac37051cdc971cc24055762abb7d75b6086ba5
trashnet_00028,/kaggle/input/datasets/feyzazkefe/trashnet/dataset-resized/cardboard/cardboard124.jpg,cardboard/cardboard124.jpg,cardboard,0,train,42,abb69d945dbc094ff1bc3106dea049b049db52d5f2c840bedccbce030b4e5271
trashnet_00029,/kaggle/input/datasets/feyzazkefe/trashnet/dataset-resized/cardboard/cardboard125.jpg,cardboard/cardboard125.jpg,cardboard,0,train,42,5ec499f5f409e2ef67239f34b4cb719cbd4b693d7a4d41c95a17fdd4198087cb
trashnet_00030,/kaggle/input/datasets/feyzazkefe/trashnet/dataset-resized/cardboard/cardboard126.jpg,cardboard/cardboard126.jpg,cardboard,0,train,42,0417170e5e24a3210f42957a6b7c058c5985b2e01c11a76384cf4ede41fc6580
trashnet_00031,/kaggle/input/datasets/feyzazkefe/trashnet/dataset-resized/cardboard/cardboard127.jpg,cardboard/cardboard127.jpg,cardboard,0,train,42,5090e856d0fe490c802ce604fd5d186a4ead5e5b9b4b325ac728850189ac8b36
trashnet_00033,/kaggle/input/datasets/feyzazkefe/trashnet/dataset-resized/cardboard/cardboard129.jpg,cardboard/cardboard129.jpg,cardboard,0,train,42,c2ae83dc97726813ee11aba8f734474448bafaa3816afb15ebffde35de7980f7
trashnet_00035,/kaggle/input/datasets/feyzazkefe/trashnet/dataset-resized/cardboard/cardboard130.jpg,cardboard/cardboard130.jpg,cardboard,0,train,42,c03d6ce3de22e4139e2429950d3c993f6924acbe505801e38ba88e34a6b769dd
trashnet_00036,/kaggle/input/datasets/feyzazkefe/trashnet/dataset-resized/cardboard/cardboard131.jpg,cardboard/cardboard131.jpg,cardboard,0,train,42,24c750b1dc48feec1847b04bd82abab80b66082365cebc9f61960f189f349605
